year,sample_question_id,normalized_question,question_text,topic,source_file,occurrence_count,first_line
4th Year,a26765e386cb,what is web mining,(c) What is Web Mining?,Q3.,4th-year.pdf,2,2648
4th Year,1a905a556b23,with java script,with Java Script?,Q1.,4th-year.pdf,2,2581
4th Year,7115134e31d4,a briefly explain the major task in data preprocessing,a) Briefly explain the major task in data preprocessing?,MM.: 100,4th-year.pdf,1,4591
4th Year,320249b80f5d,a coordinating process to what extent can such algorithms actually be considered distributed,a coordinating process. To what extent 35 can such algorithms actually be considered distributed?,E34,4th-year.pdf,1,2481
4th Year,0ad044ac31be,a define system process how can you kill a process through command line,a. Define system process. How can you kill a process through command line?,B.TECH.(CS/IT) (SEMESTER-VII),4th-year.pdf,1,6688
4th Year,196e6688934c,a distinguish between supervised learning and unsupervised learning,a) Distinguish between supervised learning and unsupervised learning?,B.TECH (VII SEM) SOFT COMPUTING,4th-year.pdf,1,6287
4th Year,18e6bde76068,a explain in detail ant colony based optimization,a) Explain in detail Ant colony based optimization?,P.T.O,4th-year.pdf,1,6352
4th Year,e197fbb94d41,a explain various activation functions used in ann,a) Explain various activation functions used in ANN?,B.TECH (VII SEM) SOFT COMPUTING,4th-year.pdf,1,6270
4th Year,5e98d65e9208,a illustrate the mutation process in ga,a) Illustrate the Mutation process in GA?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1597
4th Year,d9d0efec945c,a what are shadow files,a) What are shadow files?,Q.2,4th-year.pdf,1,6858
4th Year,2ddee78a3ea0,a what are the main features of nfs and nfs daemons,a) What are the main features of NFS and NFS daemons?,LDAP?,4th-year.pdf,1,6457
4th Year,e86a44e5aafa,a what do you mean by data warehousing,a) What do you mean by data warehousing?,MM.: 100,4th-year.pdf,1,4579
4th Year,fd27c13236c9,a what do you mean by neural network,a) What do you mean by neural network?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1581
4th Year,96d2240d7e3a,a what is a decision tree,a) What is a decision tree?,MM.: 100,4th-year.pdf,1,4558
4th Year,16dfcbbb2f5d,a what is a security attack,a) What is a security attack?,C12,4th-year.pdf,1,5540
4th Year,013892d13d17,a what is a signal driver,a) What is a signal driver?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,4839
4th Year,91af27617a60,a what is ad hoc network,a) What is Ad hoc network?,NETWORKS,4th-year.pdf,1,1451
4th Year,4bb4a628f857,a what is cryptography,a) What is cryptography?,C12,4th-year.pdf,1,5577
4th Year,b860164560fd,a what is defuzzification,a) What is Defuzzification?,B.TECH (VII SEM) SOFT COMPUTING,4th-year.pdf,1,6303
4th Year,bbed9f00df22,a what is denial of service attack,a) What is denial of service attack?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1854
4th Year,4973d6405bb8,a what is encryption,a) What is encryption?,C12,4th-year.pdf,1,5597
4th Year,b5574f087105,a what is lvm,a) What is LVM?,10X2,4th-year.pdf,1,6449
4th Year,476536fc88b5,a what is meant by swap space and partitions,a) What is meant by swap space and partitions?,TCS-701/TIT701,4th-year.pdf,1,6390
4th Year,2fa180fe53f1,a what is modulation,a) What is modulation?,NETWORKS,4th-year.pdf,1,1479
4th Year,540b0af9112d,a what is process,a) What is process?,TCS-701/TIT701,4th-year.pdf,1,6410
4th Year,ba676c75298c,a what is the role of a system administrator,a) What is the Role of a system administrator?,010X20-80T,4th-year.pdf,1,6434
4th Year,190d05e527e1,a why scanning is needed in tv,a) Why scanning is needed in TV?,"EVEN (VIII) SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,6951
4th Year,7aeb176daaab,a write a short note on ado net providers,a) Write a short note on ADO.Net Providers?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,64
4th Year,532c6b9c1d6c,a write a short note on xml,a) Write a short note on XML?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,84
4th Year,9a697a34a5d6,a write short notes on inheritance,a) Write short notes on Inheritance?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,56
4th Year,65e852b48b91,algorithm remove the possibility of deadlock detection,algorithm remove the possibility of deadlock detection?,Q.3,4th-year.pdf,1,4989
4th Year,8a64a32f9aa7,algorithm with proper examples,Algorithm with proper examples?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5883
4th Year,56465d95acaf,along with its working,along with its working?,[P.T.O.],4th-year.pdf,1,6059
4th Year,c06c87123e0a,also discuss the strength of des,Also discuss the strength of DES,(A),4th-year.pdf,1,2153
4th Year,098350c06fc0,also explain grid architecture,Also explain grid architecture,Q.5,4th-year.pdf,1,5023
4th Year,072e3c404e3f,also give,Also give,TCS-702/1420,4th-year.pdf,1,427
4th Year,0344388634c4,also name a few methods to defend against such,Also name a few methods to defend against such,(F),4th-year.pdf,1,2081
4th Year,1465ab89efd9,also write what,Also write what,SYSTEM ADMINISTRATION,4th-year.pdf,1,6527
4th Year,b48e6d0285f4,an analysis company xyz records reveals that if the value of the quality characteristics exceeds the target by the tolerance of and on either side the product is likely to be failing during the warranty period and cost rs for repair determine the total loss use taguchi s loss function for a deviation of,"020. An analysis company XYZ records reveals that if the value of the quality characteristics exceeds the target 1.00 by the tolerance of 0.020 and on either side (i.e. 0.020) the product is likely to be failing during the warranty period and cost Rs. 100/- for repair. Determine the total loss, use Taguchi's Loss function for a deviation of 0.010.",ISO,4th-year.pdf,1,4075
4th Year,a619f2226dd2,an example,an  example?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,57
4th Year,6257f84cd8ec,analyze,Analyze,"EXAMINATION, 2024 – 25",4th-year.pdf,1,1246
4th Year,98e4b78fec15,analyze the,Analyze the,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2211
4th Year,6bb4ffabb5f7,analyze the impact of shared resources and multi tenancy on cloud app,(c) Analyze the impact of shared resources and Multi-Tenancy on cloud app?,Q4.,4th-year.pdf,1,7074
4th Year,430a753708c8,and an ssl session,and an SSL session?,P.T.O.,4th-year.pdf,1,7173
4th Year,5def3eb0e173,and application of ga,and application of GA?,[P.T.O.],4th-year.pdf,1,6043
4th Year,452cb80a2978,and segmentation,and  segmentation?,"EVEN (VIII) SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1369
4th Year,3d2f44b94d80,and what are the architectural influences of soa on cloud design,and  what are the architectural influences of SOA on cloud design?,CLOUD SECURITY,4th-year.pdf,1,1774
4th Year,b90bdc5fad95,answer any two parts of the following a illustrate clr,Answer any two parts of the following. (10x2= 20) a) (i) Illustrate CLR?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,110
4th Year,988eab237b7d,answer any two parts of the following a what is fuzzification,Answer any two parts of the following. (10x2= 20) a) (i) What is fuzzification?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5872
4th Year,b2305615d19f,answer any two parts of the following a what is paas,Answer any two parts of the following. (10x2= 20) a) (i)What is PaaS?,CLOUD SECURITY,4th-year.pdf,1,1659
4th Year,e5afeaf84ff5,answer any two parts of the following a what is s mime,Answer any two parts of the following. (10x2= 20) a) (i) What is S/MIME?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2013
4th Year,bb31856f2230,answer any two parts of the following a what is zfs,Answer any two parts of the following. (10x2= 20) a) (i) What is ZFS?,"EXAMINATION, 2024 – 25",4th-year.pdf,1,1298
4th Year,1a2419796a23,applications b what is genetic neuro hybrid systems,applications. (5 marks) b) What is Genetic Neuro-Hybrid Systems?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5884
4th Year,f380cbcd9a79,architecture,Architecture?,WEB TECHNOLOGY,4th-year.pdf,1,7246
4th Year,f380cbcd9a79,architecture,architecture?,BCST-802/BITT-802,4th-year.pdf,1,7135
4th Year,8334ff39e8b0,architecture why do we use a large register file in risc,architecture. Why do we use a large register file in RISC?,SECTION-4,4th-year.pdf,1,3244
4th Year,607f4d133311,are the issues in routing protocols in wireless network,are the issues in routing protocols in wireless network?,NETWORKS,4th-year.pdf,1,1456
4th Year,edc19431d7c6,arsexplain different classes of mheg model,arsExplain different classes of MHEG model.,"(SEM. VIII) EXAMINATION, 2012 MULTIMEDIA COMMUNICATION & SYSTEM DESIGN",4th-year.pdf,1,3751
4th Year,108d448f9b4a,as unsupervised learning,as unsupervised learning?,OPTICS,4th-year.pdf,1,4442
4th Year,d806dfd9b354,attempt any four all question carry equal marks,1. Attempt any four. All question carry equal marks,MM.: 100,4th-year.pdf,1,4518
4th Year,d806dfd9b354,attempt any four all question carry equal marks,2. Attempt any four. All question carry equal marks.,MM.: 100,4th-year.pdf,1,4536
4th Year,d78e011c1176,attempt any four parts,2 Attempt any four parts:,Q.1,4th-year.pdf,1,4924
4th Year,eff23463dd3b,attempt any four parts of the following,Attempt any FOUR parts of the following,(F),4th-year.pdf,1,2090
4th Year,eff23463dd3b,attempt any four parts of the following,Attempt any FOUR parts of the following,"CSE, VIII",4th-year.pdf,1,1138
4th Year,eff23463dd3b,attempt any four parts of the following,Attempt any FOUR parts of the following.,"CSE, VIII",4th-year.pdf,1,1122
4th Year,eff23463dd3b,attempt any four parts of the following,Attempt any FOUR parts of the following.,NOTE:,4th-year.pdf,1,2054
4th Year,9563afbdefb3,attempt any four question,1 Attempt any four question.,C12,4th-year.pdf,1,5538
4th Year,ff14e1c3a6cc,attempt any four questions,2 Attempt any four questions,C12,4th-year.pdf,1,5556
4th Year,ff14e1c3a6cc,attempt any four questions,Attempt any four Questions:,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2189
4th Year,60b7956a33b0,attempt any two all question carry equal marks,3. Attempt any two. All question carry equal marks.,MM.: 100,4th-year.pdf,1,4554
4th Year,60b7956a33b0,attempt any two all question carry equal marks,4. Attempt any two. All question carry equal marks,MM.: 100,4th-year.pdf,1,4575
4th Year,60b7956a33b0,attempt any two all question carry equal marks,5. Attempt any two. All question carry equal marks,MM.: 100,4th-year.pdf,1,4587
4th Year,bb68653b1cdc,attempt any two parts,Attempt any two parts-,P.T.O,4th-year.pdf,1,2909
4th Year,618e82323171,attempt any two parts of the following,Attempt any TWO parts of the following,(B),4th-year.pdf,1,2145
4th Year,b4084b27c67c,attempt any two questions,3 Attempt any two questions,C12,4th-year.pdf,1,5572
4th Year,b4084b27c67c,attempt any two questions,4 Attempt any two questions),C12,4th-year.pdf,1,5583
4th Year,b4084b27c67c,attempt any two questions,5 Attempt any two questions,C12,4th-year.pdf,1,5593
4th Year,d183ed23b574,aw what do you mean by distributed objects,AW10×2=20 (a) What do you mean by distributed objects?,E34,4th-year.pdf,1,2511
4th Year,7590ff1778a1,b are false rejects which model should you choose,B are false rejects. Which model should you choose?,DATA MINING & DATA WAREHOUSING,4th-year.pdf,1,5235
4th Year,fbb4924d61e7,b describe,b) Describe,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,57
4th Year,98e6390ac6cd,b discuss the challenges of security in computing,b) Discuss the challenges of security in computing?,C12,4th-year.pdf,1,5542
4th Year,caec9c1cc671,b discuss the classification of routing protocol in wireless network,b) Discuss the classification of routing protocol in wireless network?,NETWORKS,4th-year.pdf,1,1468
4th Year,dfdef3d71122,b explain a single layer net and multilayer net,b) Explain a single layer net and multilayer net?,B.TECH (VII SEM) SOFT COMPUTING,4th-year.pdf,1,6289
4th Year,3eeee7a4fda3,b explain fuzzy,(5 marks) b) Explain fuzzy,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5868
4th Year,e2bb14b52cd1,b explain in details about creating and consuming ajax,b) Explain in details about Creating and consuming AJAX?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,85
4th Year,fbc4980af248,b explain what do you mean by user management commands,b) Explain what do you mean by User management commands?,Q.1,4th-year.pdf,1,6826
4th Year,dcaef8e3d6af,b given a,b) Given a,B.TECH (VII SEM) SOFT COMPUTING,4th-year.pdf,1,6303
4th Year,46b0cf013e48,b how does pgp use the concept of trust,b) How does PGP use the concept of trust?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2017
4th Year,b5603fabe1c7,b how does virtualization impact cloud security management,b) How does virtualization impact cloud security management?,CLOUD SECURITY,4th-year.pdf,1,1683
4th Year,30ba5708c994,b how is data prepared for classification and prediction,b) How is data prepared for classification and prediction?,MM.: 100,4th-year.pdf,1,4544
4th Year,da991468864b,b how is the training algorithm performed in back propagation neural networks,b) How is the training algorithm performed in back-propagation neural networks?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1584
4th Year,0ccdbdcaad6b,b what are the components of a wireless communication link,b) What are the components of a wireless communication link?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,7529
4th Year,48d169e5338d,b what do you mean by starting and stopping nfs b,b) What do you mean by starting and stopping NFS?b,TCS-701/TIT701,4th-year.pdf,1,6396
4th Year,bd154a123edf,b what is ieee networking standard,b) What is IEEE 802.11 networking standard?,NETWORKS,4th-year.pdf,1,1482
4th Year,48fd6dc61306,b what is kell factor and flicker,b) What is Kell factor and flicker ?,"EVEN (VIII) SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,6923
4th Year,f436e16dfe15,b what is market basket analysis,b) What is market basket analysis?,MM.: 100,4th-year.pdf,1,4595
4th Year,9332b51c4e3a,b what is neural network architecture,b) What is Neural Network Architecture?,B.TECH (VII SEM) SOFT COMPUTING,4th-year.pdf,1,6275
4th Year,513b08868680,b what is nis,b) What is NIS?,LDAP?,4th-year.pdf,1,6462
4th Year,036d38250f51,b what is s box substitution,b) What is S-Box Substitution?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,1980
4th Year,77b65709331f,b what is the celluler network,b) What is the Celluler network?,NETWORKS,4th-year.pdf,1,1453
4th Year,ab9358aa7750,b what is the euler s theorem,b) What is the Euler's theorem?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,1967
4th Year,9297ffce2bae,b what is the md algorithm,b) What is the MD5 Algorithm?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,1993
4th Year,90dd7ed159f1,b what is the purpose of the x standard,b) What is the purpose of the X.509 standard?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2005
4th Year,8498bf060fd5,b what is virtualization in cloud infrastructure,b) What is virtualization in cloud infrastructure?,CLOUD SECURITY,4th-year.pdf,1,1650
4th Year,9b9aeb2bb086,b why message authentication is required,b) Why Message Authentication is required?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1932
4th Year,248a20b62efb,background,background?,5X4,4th-year.pdf,1,6416
4th Year,248a20b62efb,background,background?,Q.2,4th-year.pdf,1,6848
4th Year,cd2ed9a72a7e,based protocols,based protocols?,TCS-801/1890/4,4th-year.pdf,1,2902
4th Year,5e088ab9f61e,be employed to mitigate its adverse effects,be  employed to mitigate its adverse effects ?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,7527
4th Year,1ab7a3b97e04,brhow does cdma allow each station to transmit the entire frequency spectrum all the time,(e)brHow does CDMA allow each station to transmit  the entire frequency spectrum all the time?,MOBILE COMPUTING,4th-year.pdf,1,3634
4th Year,d136dfedaddb,briefly describe different elements of hypertext,(a) Briefly describe different elements of hypertext?,DS-1099],4th-year.pdf,1,3814
4th Year,12bbbc3c1f65,briefly explain the difference between dom sax parser,Briefly explain the difference between DOM & SAX Parser?,WEB TECHNOLOGY,4th-year.pdf,1,7215
4th Year,57604ace5ff2,briefly explain the different message authentication functions with neat diagrams,Briefly explain the different message authentication functions with neat diagrams?,(A),4th-year.pdf,1,2139
4th Year,bab0be3ab403,briefly explain the diffie hellman key exchange algorithm,(F) Briefly explain the Diffie Hellman Key Exchange algorithm?,(C),4th-year.pdf,1,2130
4th Year,eaf9d4c5f096,c elaborate what do you understand by in config command,"c) Elaborate what do you understand by ""in-config"" command?",Q.2,4th-year.pdf,1,6846
4th Year,abc9331a2b5b,c explain in details about the data binding in windows forms and web forms,c) Explain in details about the Data binding in windows forms and web forms?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,77
4th Year,1b5daa8f8396,c explain olap and its type with diagram,c) Explain OLAP and its type with diagram?,MM.: 100,4th-year.pdf,1,4585
4th Year,9982a98eb6a6,c explain the array types of array and lists with an example,c) Explain the Array & Types of Array and lists with an example?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,60
4th Year,fce621452367,c explain the factors affecting back propagation training,c) Explain the factors affecting back propagation training?,B.TECH (VII SEM) SOFT COMPUTING,4th-year.pdf,1,6277
4th Year,800df3c52899,c how can you handle error in c,c) How can you handle error in C#?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,31
4th Year,f1e85944fe8c,c how is user authentication managed in saas applications,c) How is user authentication managed in SaaS applications?,CLOUD SECURITY,4th-year.pdf,1,1669
4th Year,b2629e9ca5c1,c how we can configure firewall in linux operating system,c) How we can configure firewall in Linux operating system?,Q.2,4th-year.pdf,1,6876
4th Year,f66545a0d7d0,c what are shadow files and how they work,c) What are Shadow files and how they work?,010X20-80T,4th-year.pdf,1,6441
4th Year,368fcb877c23,c what are the issues in design of mac protocols in wireless network,c) What are the issues in design of MAC protocols in wireless network?,NETWORKS,4th-year.pdf,1,1455
4th Year,a235d57e038b,c what are the major requirements of clustering analysis,c) What are the major requirements of clustering analysis?,MM.: 100,4th-year.pdf,1,4597
4th Year,27b11be0cf99,c what are the technical underpinnings that make os level virtualization possible,c) What are the technical underpinnings that make OS-level virtualization possible?,"EXAMINATION, 2024 – 25",4th-year.pdf,1,1246
4th Year,77c1ff506a1e,c what are the various steps in security planning,c) What are the various steps in security planning?,C12,4th-year.pdf,1,5602
4th Year,52ba785748b0,c what do you mean by pipeline hazard,c) What do you mean by Pipeline Hazard?,Q.3.,4th-year.pdf,1,506
4th Year,0804a1714a4c,c what do you understand by chinese remainder theorem,c) What do you understand by Chinese Remainder Theorem?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1935
4th Year,fc0926e6dce5,c what do you understand by interleave memory,c) What do you understand by Interleave Memory?,ADVANCED COMPUTER ARCHITECTURE (TCS-702),4th-year.pdf,1,461
4th Year,535d9975376a,c what do you understand by tournament selection,c) What do you understand by Tournament Selection?,P.T.O,4th-year.pdf,1,6346
4th Year,6fb78b165c7f,c what is,(10 marks)  c) What is,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5884
4th Year,6fb78b165c7f,c what is,c) What is,NETWORKS,4th-year.pdf,1,1468
4th Year,01fffc968aee,c what is digital certificate,c) What is Digital Certificate?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1901
4th Year,2d4ae2b0c57e,c what is microsoft hdinsight,c) What is Microsoft HDInsight?,CLOUD SECURITY,4th-year.pdf,1,1704
4th Year,0fcfa2f5c561,c what is shell and explain how it works,c) What is Shell and explain how it works?,5X4,4th-year.pdf,1,6418
4th Year,a36c357d18b0,c what is the difference between an ssl connection and ssl session,c) What is the difference between an SSL connection and SSL session?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2018
4th Year,aa8525930477,c what is the idea behind meet in the middle attack,c) What is the idea behind meet in the middle attack?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1859
4th Year,f7828dbd70c5,c what is the purpose of the digital signature standard,c) What is the purpose of the Digital Signature Standard (DSS)?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,1995
4th Year,be55bc573182,c what is the use of firewall,c) What is the use of firewall?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2007
4th Year,db0fbfab72c3,c what is the use of i node,c) What is the use of I-node?,TCS-701/TIT701,4th-year.pdf,1,6398
4th Year,931ff63aefa6,c what is vertical scaling in cloud computing,c) What is vertical scaling in cloud computing?,CLOUD SECURITY,4th-year.pdf,1,1686
4th Year,25556fa62efd,calculate the gcd of,"Calculate the GCD of (270,192).",BCST-802/BITT-802,4th-year.pdf,1,7122
4th Year,5684ed66fb97,call traverse from api to driver,call  traverse from API to driver?,"EXAMINATION, 2024 – 25",4th-year.pdf,1,1270
4th Year,17abe2f725bd,called light weight,called light weight?,HOBT,4th-year.pdf,1,6593
4th Year,baa0bf65a2f0,challenges of mobile cloud computing,Challenges of Mobile Cloud Computing,Q4.,4th-year.pdf,1,7068
4th Year,001e28d8b7c9,cloud service brokerage,Cloud Service Brokerage,Q4.,4th-year.pdf,1,7066
4th Year,14d920b9b811,compare and contrast hard and soft computing,Compare and contrast hard and soft computing.,SOFT COMPUTING,4th-year.pdf,1,6117
4th Year,3320903ca2cd,compare and contrast the methods of concurrency control for transaction,Compare and contrast the methods of concurrency control for transaction.,Q.3,4th-year.pdf,1,4999
4th Year,122fc629279a,compare interlaced scanning with,Compare interlaced scanning with,"EVEN (VIII) SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,6951
4th Year,e0cfaa4185f0,compare ipv and ipv with their header format,Compare IPV4 and IPV6 with their header format.,(A),4th-year.pdf,1,1142
4th Year,d986b4a317c9,compare it with horizontal scaling and explain,Compare it with horizontal scaling and explain,CLOUD SECURITY,4th-year.pdf,1,1686
4th Year,6bd38354b52d,compare steganography with cryptography,Compare steganography with cryptography?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2200
4th Year,84777cb08448,compare the file system of windows unix,Compare the file system of windows & UNIX.,SYSTEM ADMINISTRATION,4th-year.pdf,1,6500
4th Year,eaf623029e12,compare the instruction set architecture in risc and cisc in terms of instruction formats addressing modes and cycle per instruction,"Compare the instruction set architecture in RISC and CISC in terms of instruction formats, addressing modes and cycle per instruction (CPI).",TCS-702/1920,4th-year.pdf,1,868
4th Year,7af6d6285680,compare the key feature of hdtv and d stereoscopic television,Compare the key feature of HDTV and 3-D stereoscopic television,"EVEN (VIII) SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,6980
4th Year,f81f89d34f2e,compare uniprocessor systems with multiprocessor systems for the following aspects,Compare uniprocessor systems with multiprocessor systems for the following aspects:,SECTION-1,4th-year.pdf,1,3113
4th Year,14df263cdfad,comparison of artmap with bpn,Comparison of ARTMAP with BPN (10marks),"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5885
4th Year,65f3926f9a2a,computing,computing?,Q.5,4th-year.pdf,1,5030
4th Year,ffacedf5cd53,computing how has soa influenced modern cloud systems,computing.  How has SOA influenced modern cloud systems?,CLOUD SECURITY,4th-year.pdf,1,1636
4th Year,6ce85410eb28,concepts like polymorphism and encapsulation implemented in c,concepts like  polymorphism and encapsulation implemented in C?,"EXAMINATION, 2024 – 25",4th-year.pdf,1,1273
4th Year,df515e676933,concurrency and synchronization important,Concurrency and synchronization important?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,133
4th Year,01cacaf1948c,consider the,Consider the,TCS-702/1420,4th-year.pdf,1,339
4th Year,0a124c81484c,contention based protocol,contention based protocol?,NETWORKS,4th-year.pdf,1,1469
4th Year,48c910b6614c,cryptography,cryptography?,(B),4th-year.pdf,1,2061
4th Year,6a1de0a07e9f,customer predicted to churn,= customer predicted to churn)?,DATA MINING & DATA WAREHOUSING,4th-year.pdf,1,5441
4th Year,7f78902b0b70,d describe moore s law and what is the future scope of it,d) Describe Moore's law and what is the future scope of it.,ADVANCED COMPUTER ARCHITECTURE (TCS-702),4th-year.pdf,1,478
4th Year,c44182cd38a0,d discuss the first generation cellular network,d) Discuss the first generation Cellular network?,NETWORKS,4th-year.pdf,1,1471
4th Year,5c65f3dd1f3d,d explain blowfish in detail,d) Explain Blowfish in detail.,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1860
4th Year,61f54a3bea3e,d explain the characteristics of neural network,d) Explain the characteristics of Neural Network?,B.TECH (VII SEM) SOFT COMPUTING,4th-year.pdf,1,6279
4th Year,66320c945850,d give the properties of fuzzy set,d) Give the Properties of Fuzzy set?,B.TECH (VII SEM) SOFT COMPUTING,4th-year.pdf,1,6295
4th Year,3b94b3bda13c,d what,d) What,NETWORKS,4th-year.pdf,1,1455
4th Year,cff9ba6c25bf,d what are data visualization principles,d) What are data visualization principles?,MM.: 100,4th-year.pdf,1,4548
4th Year,47b2caf75612,d what are generics,d) What are Generics?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,4795
4th Year,f424fbf146cf,d what do you mean by file structure,d) What do you mean by file structure?,Q.2,4th-year.pdf,1,6850
4th Year,fa9d79668cc4,d what do you understand by run time and compile time polymorphism,d) What do you understand by run time and compile time polymorphism?,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,48
4th Year,62bb47249e1e,d what is file structure and how it is organized,d) What is file structure and how it is organized?,5X4,4th-year.pdf,1,6420
4th Year,d8545578ba45,d what is ip filtering and what they are used for,d) What is IP filtering and what they are used for?,Q.1,4th-year.pdf,1,6830
4th Year,c336f5023134,d what is the function of kernel,d) What is the function of Kernel?,TCS-701/TIT701,4th-year.pdf,1,6401
